UniprotID	logFC	AveExpr	t	P.Value	adj.P.Val	B	PG.Genes	PG.ProteinDescriptions	contrast
P30153	0.579847680684441	16.7392118733938	3.18914922292429	0.0063286493075824	0.0245655541963404	-3.06068735002183	PPP2R1A	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform	K57A_vs_Beads_str
P61764	-1.43559211760241	14.2862768992668	-3.1877705745471	0.00636661521722021	0.0246831137613338	-3.06541172704654	STXBP1	Syntaxin-binding protein 1	K57A_vs_Beads_str
Q9UIA9	1.97782597595206	13.506334748422	3.18591692971852	0.00639765329577046	0.0247735634850678	-3.06978365380357	XPO7	Exportin-7	K57A_vs_Beads_str
P80303	-1.04295017930452	15.2967818142863	-3.18313291751497	0.00640780916383514	0.024783030869514	-3.0727934294626	NUCB2	Nucleobindin-2	K57A_vs_Beads_str
P53004	1.42467512498216	12.8867542631682	3.17902718576164	0.00645918425225243	0.0249517045513694	-3.08074394490156	BLVRA	Biliverdin reductase A	K57A_vs_Beads_str
Q9P2J5	-0.37892989015598	16.6416434084869	-3.17081021269756	0.00656711351510021	0.0253336267026799	-3.09701775348296	LARS1	Leucine--tRNA ligase, cytoplasmic	K57A_vs_Beads_str
Q9NQX3	-0.660915726275395	14.5065676684167	-3.17030435976521	0.00657381601432329	0.0253336267026799	-3.09801936530658	GPHN	Gephyrin	K57A_vs_Beads_str
Q9HC36	1.22049670770429	13.9712062762798	3.1674526786605	0.00661172765173079	0.025449212781632	-3.10366530819729	MRM3	rRNA methyltransferase 3, mitochondrial	K57A_vs_Beads_str
Q09161	0.771518798370915	14.354130410997	3.1638548218109	0.00665986887491207	0.0256038499568988	-3.11078732293282	NCBP1	Nuclear cap-binding protein subunit 1	K57A_vs_Beads_str
P35609	-1.27877929924631	15.730235135264	-3.17135329948315	0.0066725879935084	0.025622100132779	-3.10649125771458	ACTN2	Alpha-actinin-2	K57A_vs_Beads_str
Q92615	-1.48256259488658	12.8380048175866	-3.16174505623644	0.00668826018836123	0.0256516327510656	-3.11496298217046	LARP4B	La-related protein 4B	K57A_vs_Beads_str
Q9BRU9	-0.718330902778598	13.3791137152367	-3.15800810853308	0.006738843538481	0.0258148309090321	-3.12235797244013	UTP23	rRNA-processing protein UTP23 homolog	K57A_vs_Beads_str
P27361	2.26204356395989	14.0479422470041	3.16453666199573	0.00676431206086002	0.025881546385243	-3.11991006633136	MAPK3	Mitogen-activated protein kinase 3	K57A_vs_Beads_str
Q13901	-1.93124281387252	12.1500383891657	-3.15238714240042	0.00681564421425973	0.0260469447141864	-3.13347831579524	C1D	Nuclear nucleic acid-binding protein C1D	K57A_vs_Beads_str
Q5JVF3	1.74696474557507	12.4476638777824	3.14443578536217	0.00692576956352106	0.0264363698065994	-3.1492030057691	PCID2	PCI domain-containing protein 2	K57A_vs_Beads_str
P31944	-1.79305950302071	14.7802256024977	-3.15149419308568	0.00694331363783924	0.0264718980213705	-3.14557123559694	CASP14	Caspase-14	K57A_vs_Beads_str
Q0VGL1	0.7869589736531	13.4613102013285	3.14179246847761	0.00696276833274841	0.0265018083713928	-3.15442887719669	LAMTOR4	Ragulator complex protein LAMTOR4	K57A_vs_Beads_str
O43920	-0.525484088029287	15.133927834525	-3.14144472394527	0.0069676503029953	0.0265018083713928	-3.15511631346579	NDUFS5	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5	K57A_vs_Beads_str
Q13813	-1.07111657520078	16.4762562451074	-3.14573000961523	0.0069944383252636	0.0265722515099258	-3.15432038056783	SPTAN1	Spectrin alpha chain, non-erythrocytic 1	K57A_vs_Beads_str
Q8N9T8	1.15940055482248	13.7227440485778	3.13737148177536	0.0070250875229601	0.0266571798096739	-3.16316744421103	KRI1	Protein KRI1 homolog	K57A_vs_Beads_str
Q9Y2D5	-1.05185869620292	13.7465229839812	-3.13424360435873	0.00706951224535774	0.0267941183450233	-3.16934868315331	AKAP2	A-kinase anchor protein 2	K57A_vs_Beads_str
O43615	0.869563031892561	13.5589724374685	3.13314224671667	0.00708522079832973	0.0268220254956793	-3.17152489177073	TIMM44	Mitochondrial import inner membrane translocase subunit TIM44	K57A_vs_Beads_str
Q01780	0.722041456281413	13.8685539658878	3.13207128399273	0.0071005289864442	0.0268483531322726	-3.17364090732091	EXOSC10	Exosome component 10	K57A_vs_Beads_str
P17987	0.306513868565162	18.4021074997465	3.12360495490248	0.00722270413102006	0.0272782268826069	-3.19036402929658	TCP1	T-complex protein 1 subunit alpha	K57A_vs_Beads_str
O43156	-4.67686087729229	13.1542747323571	-3.13061961118444	0.00723963834533936	0.0273100911290149	-3.18660439049623	TTI1	TELO2-interacting protein 1 homolog	K57A_vs_Beads_str
P47712	-2.30299831785227	13.7511899203961	-3.12752147171163	0.00728467402545081	0.0274477635613117	-3.19269033747121	PLA2G4A	Cytosolic phospholipase A2	K57A_vs_Beads_str
Q9H4L4	-2.12479270647399	13.6111883418352	-3.11777015567673	0.00740895359363176	0.027856618277684	-3.21025198021215	SENP3	Sentrin-specific protease 3	K57A_vs_Beads_str
