accession	AMP_vs_Beads_str	AMP_vs_Beads_unst	AMP_vs_K57A_str	AMP_vs_K57A_unst	K57A_vs_Beads_str	K57A_vs_Beads_unst
Q13232	1	1	1	1	0	1
Q13242	0	0	0	0	0	0
Q13243	0	0	0	1	0	0
Q13247	0	0	0	1	0	0
Q13263	1	1	1	1	0	1
Q13268	0	1	0	1	0	1
Q13283	0	0	1	0	0	0
Q13308	1	1	1	1	0	1
Q13325	0	0	0	0	1	0
Q13330	1	1	1	0	1	1
Q13371	0	1	1	0	0	1
Q13404;Q15819	0	0	0	0	0	0
Q13405	0	0	0	0	1	0
Q13409	1	1	1	1	0	1
Q13423	1	1	1	0	1	1
Q13424	1	1	0	0	1	1
Q13425	1	0	0	0	1	1
Q13426	1	0	1	0	1	1
Q13428	1	1	0	1	1	1
Q13435	1	1	1	0	1	1
Q13442	1	0	0	0	1	0
Q13464	1	1	0	1	1	1
Q13485	0	0	1	1	0	0
Q13505	0	1	0	1	1	0
Q13523	0	0	1	0	0	0
Q13526	1	0	1	1	0	0
Q13547	1	1	0	1	1	1
Q13564	0	0	0	0	1	1
Q13573	0	0	0	0	0	0
Q13595	1	0	1	1	0	0
Q13601	0	0	1	0	0	0
Q13610	0	0	0	0	0	0
Q13613	1	0	1	0	0	1
Q13615;Q9NYA4	0	0	0	0	0	0
Q13616	1	1	1	1	0	0
Q13618	1	0	1	0	0	0
Q13625	0	0	0	0	1	0
Q13627;Q9Y463	0	1	0	0	0	1
Q13642	1	1	1	0	0	1
Q13643	0	1	1	1	0	1
Q13724	1	1	1	0	1	1
Q13740	0	0	0	0	1	0
Q13823	0	0	0	1	0	0
Q13825	1	0	0	0	1	0
Q13835	1	1	1	0	0	1
Q13838	1	1	1	1	0	1
Q13868	0	0	0	0	0	0
Q13885	1	1	1	1	0	1
Q13888;Q6P1K8	0	0	0	0	0	1
Q13889	1	1	1	0	1	1
Q13895	0	0	0	0	0	0
Q13907	0	0	1	0	0	0
Q14008	1	0	1	0	0	0
Q14011	0	0	0	1	0	0
Q14103	0	0	0	0	1	0
Q14108	0	0	0	0	1	1
Q14119	0	0	0	0	0	0
Q14126	1	0	1	1	0	0
Q14137	0	0	0	0	0	0
Q14139	1	0	0	1	1	0
Q14151;Q15424	1	1	1	1	0	0
Q14155	1	0	0	0	1	0
Q14157	1	1	0	0	1	1
Q14160	1	0	1	0	1	1
Q14161	0	0	0	0	1	0
Q14165	1	1	1	1	0	0
Q14166	0	0	1	0	0	0
Q14197	0	0	0	0	1	0
Q14204	1	1	1	1	0	1
Q14232	0	0	0	0	0	0
Q14241	0	1	1	0	0	1
Q14244	1	0	1	0	1	0
Q14247	1	0	1	0	1	1
Q14254	0	0	0	0	1	1
Q14257	0	0	0	0	0	0
Q14315	1	1	1	0	1	1
Q14318	1	1	1	1	0	1
Q14331	0	0	0	0	0	0
Q14344	1	0	1	1	0	0
Q14444	1	0	1	1	1	0
Q14493	0	1	1	1	0	0
Q14498	0	0	0	0	0	0
Q14527	1	1	1	1	1	0
Q14554	1	0	0	0	1	1
Q14558	1	1	1	1	0	1
Q14562	0	0	0	0	0	0
Q14574	0	1	0	0	1	1
Q14651	1	0	1	0	1	1
Q14671	1	1	1	0	1	1
Q14674	1	1	0	0	1	1
Q14677	1	1	0	1	1	1
Q14681	0	1	0	1	0	0
Q14684	0	0	0	0	0	0
Q14690	0	0	1	0	0	0
Q14694	1	1	1	0	1	1
Q14739	0	0	0	0	1	0
Q14814	1	1	1	1	0	0
Q14839	1	0	1	0	1	0
Q14847	1	1	1	1	0	1
Q14919	0	0	1	0	0	0
Q14938	0	0	0	0	1	1
Q14966	1	0	0	0	1	0
Q14978	0	1	1	1	0	1
Q14999	1	0	0	1	1	0
Q15003	1	1	1	1	1	0
Q15005	1	1	1	0	0	1
Q15014	0	0	0	0	0	0
Q15020	0	0	1	0	0	0
Q15021	1	1	0	1	1	1
Q15022	0	0	0	0	0	0
Q15024	0	0	0	0	0	0
Q15027	1	1	1	0	1	1
Q15041	0	0	1	0	0	0
Q15043	1	1	0	0	1	1
Q15050	0	0	0	0	0	0
Q15054	0	0	1	0	0	1
Q15061	1	0	0	1	1	0
Q15102	1	1	1	1	0	0
Q15119	1	1	0	0	1	1
Q15121	0	0	0	0	1	1
Q15125	1	1	0	0	1	1
Q15165	1	1	1	0	1	1
Q15181	0	0	1	1	0	0
Q15185	0	1	1	1	0	0
Q15233	0	0	1	1	0	0
Q15257	1	1	1	1	0	1
Q15287	0	1	1	1	0	0
Q15291	0	1	1	0	0	1
Q15329;Q16254	1	1	1	0	1	1
Q15334	1	0	1	0	0	1
Q15345	1	0	1	0	0	1
Q15363	1	1	1	1	0	0
Q15365	1	0	1	1	0	0
Q15366	1	0	1	0	0	1
Q15375;Q5JZY3	0	0	0	0	0	0
Q15397	0	0	0	0	0	0
Q15427	1	1	0	1	1	1
Q15428	1	0	1	1	1	0
Q15436	1	1	1	0	1	1
Q15517	1	1	0	0	1	1
Q15527	0	1	0	1	0	0
Q15532	1	1	0	1	1	1
Q15545	1	1	1	1	0	1
Q15572	1	0	1	0	1	1
Q15599	1	1	1	0	0	1
Q15631	0	0	0	0	1	0
Q15633	1	0	0	0	1	1
Q15637	1	0	0	0	1	0
Q15648	1	0	1	0	1	1
Q15649	0	0	1	0	0	0
Q15652	0	0	0	1	0	0
Q15654	0	1	1	1	0	0
Q15691	1	1	1	1	1	0
Q15717	1	1	1	0	1	1
Q15750	1	0	1	0	1	0
Q15797	1	0	1	1	1	0
Q15813	0	0	0	0	1	1
Q15843	0	0	1	1	0	0
Q15904	1	1	1	0	1	1
Q15942	1	1	1	1	0	1
Q16181	1	1	1	1	0	0
Q16186	1	1	1	1	1	0
Q16222	1	0	0	1	1	0
Q16352	1	1	1	1	1	0
Q16527	1	1	1	0	1	1
Q16539	0	0	0	0	0	0
Q16540	0	0	0	0	0	0
Q16543	0	0	1	0	0	0
Q16555	1	1	1	1	0	0
Q16563	1	1	1	0	1	1
Q16610	0	0	1	0	0	0
Q16629	0	0	0	1	0	0
Q16630	0	0	0	0	0	0
Q16637	0	0	1	0	0	0
Q16656	0	0	0	0	0	0
Q16658	1	1	1	1	1	0
Q16698	1	1	0	1	1	1
Q16763	1	0	1	0	0	1
Q16777;Q6FI13	0	0	0	0	0	0
Q16850	0	1	1	1	0	1
Q16864	0	1	1	1	0	1
Q16880	0	0	1	1	0	0
Q16881	0	0	1	0	0	0
Q16891	1	1	1	1	1	0
Q92466	1	1	0	1	1	1
Q92499	0	0	0	0	0	0
Q92522	0	0	0	0	0	0
Q92530	0	0	0	0	1	1
Q92541	0	1	0	1	0	1
Q92552	0	0	0	0	0	0
Q92558	1	0	1	0	1	1
Q92572	1	1	1	1	1	0
Q92576	0	0	0	0	0	0
Q92614	1	1	1	0	0	1
Q92615	1	1	1	1	1	0
Q92616	0	1	1	1	0	1
Q92620	0	0	1	1	0	0
Q92621	1	1	1	0	1	1
Q92665	0	0	0	0	0	0
Q92696	1	1	1	1	0	1
Q92733	1	0	0	0	1	0
Q92734	1	1	0	1	1	1
Q92747	0	0	0	0	0	0
Q92759	1	0	0	0	1	0
Q92769	1	1	1	0	1	1
Q92785	1	1	1	0	1	1
Q92796	0	0	0	0	0	0
Q92804	0	0	1	1	0	0
Q92817	0	0	0	0	0	0
Q92820	1	1	0	0	1	1
Q92841	0	0	0	0	0	0
Q92879	1	0	1	1	1	0
Q92896	0	0	1	1	0	0
Q92900	1	0	1	0	0	0
Q92905	1	0	0	1	1	0
Q92922	1	0	1	1	0	0
Q92925	1	1	1	0	1	1
Q92930	1	0	1	0	1	1
Q92945	0	1	1	1	0	1
Q92947	0	0	1	0	0	0
Q92979	1	0	0	0	1	0
Q92989	0	0	0	0	0	0
Q93009	0	0	1	1	0	0
Q93052	0	0	0	0	0	0
Q99417	1	1	1	1	1	0
Q99459	1	0	1	0	0	0
Q99470	0	0	1	1	0	0
Q99471	1	1	1	1	0	1
Q99490	0	1	1	1	0	1
Q99496	0	0	1	0	0	0
Q99497	1	1	1	1	0	1
Q99519	1	1	1	0	0	1
Q99523	1	0	1	0	1	0
Q99538	1	1	1	1	0	0
Q99543	0	0	0	0	0	0
Q99547	0	0	0	0	0	0
Q99550	0	0	0	0	0	1
Q99567	1	0	1	1	1	0
Q99570	0	0	1	1	0	0
Q99575	0	0	0	0	0	0
Q99584	1	1	1	1	0	1
Q99611	0	0	0	0	0	1
Q99615	1	0	1	1	0	0
Q99623	1	1	1	0	0	1
Q99643	1	0	1	0	1	0
Q99653	1	1	1	1	0	1
Q99700	0	0	0	0	0	0
Q99708	1	1	0	1	1	1
Q99714	0	0	0	0	0	0
Q99717	0	1	0	1	0	1
Q99729	0	0	0	0	1	0
Q99733	0	1	1	1	0	1
Q99747	1	1	1	1	0	0
Q99755	0	0	1	0	0	0
Q99797	0	0	0	0	1	0
Q99798	0	0	1	1	0	0
Q99829	0	1	1	1	0	0
Q99832	1	1	1	1	0	1
Q99848	0	0	1	0	0	0
Q99873	1	1	1	0	0	1
Q99961	1	1	1	1	0	1
