accession	AMP_vs_Beads_str	AMP_vs_Beads_unst	AMP_vs_K57A_str	AMP_vs_K57A_unst	K57A_vs_Beads_str	K57A_vs_Beads_unst
P38919	0	0	0	0	0	0
P39019	0	0	0	0	1	0
P39023	0	0	0	0	0	0
P39687	1	1	1	1	0	1
P39748	0	0	0	0	0	0
P40222	1	0	1	0	1	0
P40429	0	0	0	0	0	0
P40692	1	1	1	0	1	1
P40763	1	1	1	0	1	1
P40925	0	1	1	1	0	1
P40926	1	1	1	1	0	1
P40937	0	0	0	1	0	0
P40938	1	0	1	1	0	0
P41091	0	0	0	0	0	0
P41214	1	0	0	0	1	1
P41219	0	1	1	1	0	1
P41223	0	0	0	0	0	0
P41227	0	0	1	0	0	0
P41240	0	0	0	0	1	1
P41250	0	0	1	1	0	0
P41252	1	1	1	1	1	0
P41743	0	0	1	0	0	0
P42025	1	1	0	0	1	1
P42126	1	1	0	1	1	1
P42166	1	1	0	1	1	1
P42167	1	1	1	0	1	1
P42285	0	0	0	0	0	0
P42357	1	1	1	1	1	0
P42677	0	1	1	1	0	1
P42696	0	0	0	0	0	0
P42765	0	0	0	0	1	0
P42766	0	0	1	1	0	0
P42771	1	1	1	1	0	1
P42773	0	0	1	0	0	0
P43034	0	1	1	1	0	1
P43243	1	1	1	1	1	0
P43304	1	0	1	1	0	0
P43378	0	1	0	0	1	1
P43487	0	1	1	1	0	1
P43897	1	1	1	0	1	1
P45974	0	1	1	1	0	1
P46060	1	1	1	1	0	0
P46063	0	0	0	0	0	0
P46087	0	0	1	0	0	0
P46109	0	0	1	0	0	0
P46199	0	0	0	1	1	0
P46776	0	0	0	0	0	0
P46777	0	0	1	1	0	0
P46778	0	0	0	1	0	0
P46779	0	0	0	1	0	0
P46781	0	0	0	1	0	0
P46782	1	0	1	0	1	0
P46783	1	0	1	1	1	0
P46821	1	0	0	0	1	1
P46939	1	1	1	1	0	1
P46977	1	0	0	0	1	1
P47224	0	0	0	0	1	1
P47712	1	0	0	0	1	1
P47813	0	0	1	0	0	0
P47897	1	1	1	1	1	0
P47914	0	0	1	0	0	0
P47929	1	1	0	1	1	1
P47985	1	1	1	1	0	1
P48059	1	1	1	1	0	1
P48454	0	0	0	0	0	0
P48507	0	0	0	0	1	0
P48556	1	1	1	1	1	0
P48594	1	1	1	1	1	0
P48634	1	1	1	1	0	0
P48643	1	1	1	1	0	1
P48681	0	0	0	0	0	1
P48723	1	1	1	1	1	0
P48729	1	0	0	0	1	0
P48730;P49674	0	0	1	1	0	0
P48735	0	1	1	1	0	0
P48739	1	1	1	1	0	1
P48745	0	1	1	1	0	1
P49005	1	1	1	1	0	1
P49006	1	1	1	0	1	1
P49023	1	1	1	0	1	1
P49189	0	0	1	1	0	0
P49207	0	0	0	0	0	0
P49327	1	1	1	1	0	1
P49354	1	0	1	1	0	0
P49368	1	1	1	1	0	1
P49406	0	0	0	0	0	0
P49411	1	1	1	1	0	1
P49419	1	1	1	1	0	1
P49458	0	0	0	0	0	0
P49585;Q9Y5K3	0	0	0	1	0	0
P49588	1	1	1	0	0	1
P49590	0	0	0	1	0	0
P49591	1	0	1	0	0	0
P49593	1	1	1	1	1	0
P49711	0	1	1	1	0	1
P49736	1	1	1	1	0	1
P49750	0	0	0	0	0	0
P49756	0	0	1	1	0	0
P49757	1	0	1	1	1	0
P49770	1	0	1	0	1	1
P49773	0	1	1	0	0	1
P49792	0	1	0	1	1	0
P49840	0	1	0	1	1	1
P49841	0	0	0	0	1	1
P49915	0	0	0	0	0	1
P49916	0	0	0	0	0	1
P49917	0	0	0	0	0	0
P50148	1	1	1	0	1	1
P50395	1	1	1	1	1	0
P50402	1	0	1	1	1	0
P50454	1	0	1	1	0	0
P50502	0	1	0	1	0	1
P50570	1	1	1	0	1	1
P50579	0	0	0	0	0	0
P50747	1	1	0	1	1	1
P50750	0	0	0	0	1	0
P50914	0	0	0	0	0	0
P50990	1	1	1	1	0	1
P50991	1	1	1	1	0	1
P50995	1	1	0	0	1	1
P51114	0	0	0	1	0	0
P51116	0	0	0	1	0	0
P51148	1	1	1	1	0	1
P51151;Q9NP90	1	1	1	0	1	1
P51398	0	0	1	0	0	0
P51532	0	0	0	0	0	0
P51553	0	0	0	0	0	0
P51570	1	1	1	1	0	1
P51571	1	1	1	1	0	1
P51572	1	0	1	0	0	1
P51610	0	0	1	0	0	0
P51659	1	1	0	1	1	1
P51687	1	0	0	0	1	0
P51784	1	0	1	1	0	0
P51858	0	0	0	0	1	0
P51970	1	1	1	1	1	0
P51991	0	0	0	1	0	0
P52209	0	0	0	0	0	0
P52272	0	0	1	1	0	0
P52292	1	1	1	1	0	1
P52294	0	0	0	1	0	0
P52298	0	0	0	0	1	0
P52306	1	1	1	1	0	0
P52434	1	1	1	0	1	1
P52565	1	0	1	0	1	0
P52597	1	1	1	1	0	1
P52655	1	1	1	0	1	1
P52701	0	0	0	1	0	0
P52732	1	1	1	1	0	1
P52758	0	1	0	0	0	1
P52788	0	0	0	0	1	0
P52815	0	1	0	1	1	0
P52888	0	0	0	0	0	1
P53004	0	0	0	0	0	0
P53007	0	0	1	1	0	0
P53041	0	0	0	0	0	0
P53350	0	0	0	0	0	0
P53384	0	0	1	1	0	0
P53582	0	0	1	0	0	0
P53597	1	1	1	1	0	1
P53634	1	1	1	1	1	0
P53680	0	0	0	0	1	0
P53803	1	1	0	0	1	1
P53985	1	1	1	0	1	1
P53999	0	0	0	0	0	0
P54098	0	0	0	0	1	0
P54132	0	0	0	0	0	0
P54136	1	1	1	1	1	0
P54577	1	0	1	1	0	0
P54578	1	0	1	0	1	0
P54619	0	0	1	1	0	0
P54727	1	1	0	1	1	1
P54819	1	1	1	1	0	1
P55010	0	0	1	1	0	0
P55072	1	1	0	1	1	1
P55081	1	1	0	1	1	1
P55196	0	0	1	0	0	0
P55199	0	1	0	0	0	1
P55209	0	1	1	1	0	1
P55210	0	1	0	0	0	1
P55212	0	0	0	0	1	1
P55265	0	0	0	0	1	0
P55347	0	1	0	0	1	1
P55735	1	1	0	1	1	1
P55769	0	0	1	0	0	0
P55786	1	1	1	1	0	1
P55789	1	1	1	1	1	0
P55795	1	1	0	1	1	1
P56134	1	1	1	0	1	1
P56182	0	1	1	0	0	1
P56270	0	0	1	0	0	0
P56377	1	1	1	1	0	1
P56537	0	0	1	1	0	0
P56545	0	1	1	1	0	1
